## 累积统计1094

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 34     |   总计   | 2次 |
| 32     |   总计   | 3次 |
| 30     |   总计   | 11次 |
| 28     |   总计   | 34次 |
| 26     |   总计   | 71次 |
| 24     |   总计   | 143次 |
| 22     |   总计   | 238次 |
| 20     |   总计   | 355次 |
| 18     |   总计   | 493次 |
| 16     |   总计   | 607次 |
| 14     |   总计   | 623次 |
| 12     |   总计   | 629次 |
| 10     |   总计   | 522次 |
| 8      |   总计   | 367次 |
| 6      |   总计   | 215次 |
| 4      |   总计   | 95次 |
| 2      |   总计   | 23次 |
| 0      |   总计   | 3次 |
|--------------------------|
| 34     |    1个    | 2次 |
| 32     |    1个    | 3次 |
| 30     |    1个    | 11次 |
| 28     |    1个    | 32次 |
| 28     |    2个    | 2次 |
| 26     |    1个    | 71次 |
| 24     |    1个    | 136次 |
| 24     |    2个    | 7次 |
| 22     |    1个    | 210次 |
| 22     |    2个    | 27次 |
| 22     |    3个    | 1次 |
| 20     |    1个    | 310次 |
| 20     |    2个    | 42次 |
| 20     |    3个    | 3次 |
| 18     |    1个    | 388次 |
| 18     |    2个    | 92次 |
| 18     |    3个    | 11次 |
| 18     |    4个    | 2次 |
| 16     |    1个    | 435次 |
| 16     |    2个    | 144次 |
| 16     |    3个    | 24次 |
| 16     |    4个    | 4次 |
| 14     |    1个    | 433次 |
| 14     |    2个    | 147次 |
| 14     |    3个    | 39次 |
| 14     |    4个    | 4次 |
| 12     |    1个    | 449次 |
| 12     |    2个    | 156次 |
| 12     |    3个    | 20次 |
| 12     |    4个    | 4次 |
| 10     |    1个    | 414次 |
| 10     |    2个    | 98次 |
| 10     |    3个    | 10次 |
| 8      |    1个    | 324次 |
| 8      |    2个    | 40次 |
| 8      |    3个    | 3次 |
| 6      |    1个    | 204次 |
| 6      |    2个    | 10次 |
| 6      |    3个    | 1次 |
| 4      |    1个    | 95次 |
| 2      |    1个    | 23次 |
| 0      |    1个    | 3次 |
