## 累积统计484

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 55     |   总计   | 2次 |
| 50     |   总计   | 6次 |
| 45     |   总计   | 11次 |
| 40     |   总计   | 34次 |
| 35     |   总计   | 95次 |
| 30     |   总计   | 210次 |
| 25     |   总计   | 302次 |
| 20     |   总计   | 363次 |
| 15     |   总计   | 394次 |
| 10     |   总计   | 332次 |
| 5      |   总计   | 177次 |
| 0      |   总计   | 54次 |
|--------------------------|
| 55     |    1个    | 2次 |
| 50     |    1个    | 6次 |
| 45     |    1个    | 11次 |
| 40     |    1个    | 33次 |
| 40     |    2个    | 1次 |
| 35     |    1个    | 89次 |
| 35     |    2个    | 6次 |
| 30     |    1个    | 161次 |
| 30     |    2个    | 40次 |
| 30     |    3个    | 9次 |
| 25     |    1个    | 188次 |
| 25     |    2个    | 91次 |
| 25     |    3个    | 19次 |
| 25     |    4个    | 4次 |
| 20     |    1个    | 179次 |
| 20     |    2个    | 131次 |
| 20     |    3个    | 45次 |
| 20     |    4个    | 6次 |
| 20     |    5个    | 2次 |
| 15     |    1个    | 181次 |
| 15     |    2个    | 153次 |
| 15     |    3个    | 44次 |
| 15     |    4个    | 14次 |
| 15     |    5个    | 2次 |
| 10     |    1个    | 228次 |
| 10     |    2个    | 82次 |
| 10     |    3个    | 18次 |
| 10     |    4个    | 4次 |
| 5      |    1个    | 141次 |
| 5      |    2个    | 30次 |
| 5      |    3个    | 6次 |
| 0      |    1个    | 52次 |
| 0      |    2个    | 2次 |
